1,-4.68848,5.01074
1,-4.40088,4.8855
0,0.214111,-0.790527
0,3.25439,-3.77393
0,4.39722,-4.50464
0,4.92871,-5.02637
0,3.80713,-4.25171
0,4.70483,-4.88062
0,4.79321,-5.01392
0,4.49561,-4.9082
0,4.24097,-4.6499
0,4.18115,-4.25488
1,-4.14209,4.65967
0,2.74146,-3.22021
0,3.65405,-3.67725
1,-1.75684,1.66138
0,4.89624,-5.01147
0,3.93335,-4.42383
1,-4.38354,4.55811
1,-3.16284,3.48242
0,4.53516,-4.78662
0,3.19458,-3.68066
1,-0.689453,0.310791
0,2.8501,-3.41797
0,0.4375,-0.861084
0,3.84351,-4.13501
0,4.27026,-4.58179
0,2.56104,-3.03613
0,4.83521,-4.97681
1,-4.45312,4.74854
1,-4.04077,4.39746
0,0.63501,-0.968506
1,-2.13965,1.74072
1,-4.21631,4.73389
0,1.75854,-1.79663
1,-4.44653,4.73999
1,-4.46997,4.92896
0,4.6062,-4.92358
1,-3.58545,4.22876
1,-4.28882,4.2439
0,4.58447,-4.91284
1,-3.17114,3.20923
0,2.54395,-3.0896
0,4.61694,-4.9541
0,4.52661,-4.66406
1,-2.86987,2.66016
0,4.55176,-4.86475
0,3.15698,-3.37964
0,4.79614,-4.90942
1,-4.59839,4.83862
0,4.32349,-4.69702
0,1.14453,-1.60913
1,-4.53442,4.96436
1,-3.6311,3.71191
1,-4.5249,4.78784
1,-1.82764,2.56494
0,1.54761,-2.26367
1,-4.43774,4.86328
1,-4.37769,4.83301
0,4.9104,-5.12866
0,4.00562,-4.18872
1,-4.36865,4.48242
0,4.42065,-4.74731
1,-4.04736,4.32202
1,-4.55127,4.90137
1,-4.71143,4.99268
1,-0.779541,0.603027
1,-3.87427,4.25757
1,-4.6333,5.05396
0,4.49146,-4.88452
1,-4.65454,5.02856
0,0.805176,-1.12622
1,-0.384033,0.884766
1,-1.42554,0.992432
0,3.41895,-3.5332
1,-3.32324,3.89038
0,2.95459,-3.50635
1,-2.5564,2.17529
0,2.79761,-3.37231
0,4.97632,-5.02588
1,-4.67236,5.04443
0,4.75391,-4.93677
0,3.51636,-3.77783
1,-3.60156,3.72534
0,3.57104,-3.98413
0,4.48999,-4.6438
1,-4.57642,4.75122
0,4.65649,-4.85205
0,4.87915,-5.06982
1,-4.30103,4.55811
0,0.710938,-1.26245
1,-3.81128,4.33398
0,3.3728,-3.8623
0,4.71826,-4.89624
0,3.76636,-4.08447
1,-4.1438,4.22119
0,3.25513,-3.43823
1,-4.29077,4.7251
1,-4.70654,4.85693
0,3.49683,-4.02124
0,0.362549,-0.726562
